dataset	participant_id	classification	count
dset-camcan	sub-CC222185	ignored	1
dset-camcan	sub-CC222258	accepted	2
dset-camcan	sub-CC222258	rejected	5
dset-camcan	sub-CC222258	ignored	4
dset-camcan	sub-CC222264	accepted	7
dset-camcan	sub-CC222264	rejected	2
dset-camcan	sub-CC222264	ignored	0
dset-camcan	sub-CC222304	accepted	5
dset-camcan	sub-CC222304	rejected	8
dset-camcan	sub-CC222304	ignored	0
dset-camcan	sub-CC222326	accepted	9
dset-camcan	sub-CC222326	rejected	17
dset-camcan	sub-CC222326	ignored	4
dset-camcan	sub-CC222367	accepted	2
dset-camcan	sub-CC222367	rejected	8
dset-camcan	sub-CC222367	ignored	3
dset-camcan	sub-CC222496	accepted	12
dset-camcan	sub-CC222496	rejected	12
dset-camcan	sub-CC222496	ignored	3
dset-camcan	sub-CC222555	accepted	2
dset-camcan	sub-CC222555	rejected	8
dset-camcan	sub-CC222555	ignored	0
dset-camcan	sub-CC222652	accepted	1
dset-camcan	sub-CC222652	rejected	6
dset-camcan	sub-CC222652	ignored	3
dset-camcan	sub-CC222797	accepted	20
dset-camcan	sub-CC222797	rejected	19
dset-camcan	sub-CC222797	ignored	1
dset-camcan	sub-CC222956	accepted	0
dset-camcan	sub-CC222956	rejected	2
dset-camcan	sub-CC222956	ignored	8
dset-camcan	sub-CC223085	accepted	1
dset-camcan	sub-CC223085	rejected	11
dset-camcan	sub-CC223085	ignored	4
dset-camcan	sub-CC310008	accepted	4
dset-camcan	sub-CC310008	rejected	7
dset-camcan	sub-CC310008	ignored	1
dset-camcan	sub-CC310051	accepted	2
dset-camcan	sub-CC310051	rejected	8
dset-camcan	sub-CC310051	ignored	3
dset-camcan	sub-CC310052	accepted	0
dset-camcan	sub-CC310052	rejected	3
dset-camcan	sub-CC310052	ignored	5
dset-camcan	sub-CC310086	accepted	2
dset-camcan	sub-CC310086	rejected	7
dset-camcan	sub-CC310086	ignored	1
dset-camcan	sub-CC310129	accepted	2
dset-camcan	sub-CC310129	rejected	5
dset-camcan	sub-CC310129	ignored	0
dset-camcan	sub-CC310135	accepted	3
dset-camcan	sub-CC310135	rejected	11
dset-camcan	sub-CC310135	ignored	2
dset-camcan	sub-CC310160	accepted	4
dset-camcan	sub-CC310160	rejected	9
dset-camcan	sub-CC310160	ignored	0
dset-camcan	sub-CC310203	accepted	4
dset-camcan	sub-CC310203	rejected	6
dset-camcan	sub-CC310203	ignored	5
dset-camcan	sub-CC310214	accepted	12
dset-camcan	sub-CC310214	rejected	15
dset-camcan	sub-CC310214	ignored	2
dset-camcan	sub-CC310224	accepted	3
dset-camcan	sub-CC310224	rejected	6
dset-camcan	sub-CC310224	ignored	1
dset-camcan	sub-CC310252	accepted	6
dset-camcan	sub-CC310252	rejected	9
dset-camcan	sub-CC310252	ignored	0
dset-camcan	sub-CC310256	accepted	4
dset-camcan	sub-CC310256	rejected	5
dset-camcan	sub-CC310256	ignored	1
dset-camcan	sub-CC310331	accepted	4
dset-camcan	sub-CC310331	rejected	6
dset-camcan	sub-CC310331	ignored	0
dset-camcan	sub-CC310361	accepted	8
dset-camcan	sub-CC310361	rejected	13
dset-camcan	sub-CC310361	ignored	1
dset-camcan	sub-CC310385	accepted	4
dset-camcan	sub-CC310385	rejected	10
dset-camcan	sub-CC310385	ignored	1
dset-camcan	sub-CC310391	accepted	2
dset-camcan	sub-CC310391	rejected	6
dset-camcan	sub-CC310391	ignored	1
dset-camcan	sub-CC310397	accepted	13
dset-camcan	sub-CC310397	rejected	13
dset-camcan	sub-CC310397	ignored	4
dset-camcan	sub-CC310402	accepted	2
dset-camcan	sub-CC310402	rejected	8
dset-camcan	sub-CC310402	ignored	1
dset-camcan	sub-CC310407	accepted	2
dset-camcan	sub-CC310407	rejected	6
dset-camcan	sub-CC310407	ignored	1
dset-camcan	sub-CC310410	accepted	0
dset-camcan	sub-CC310410	rejected	4
dset-camcan	sub-CC310410	ignored	3
dset-camcan	sub-CC310414	accepted	5
dset-camcan	sub-CC310414	rejected	3
dset-camcan	sub-CC310414	ignored	3
dset-camcan	sub-CC310450	accepted	1
dset-camcan	sub-CC310450	rejected	6
dset-camcan	sub-CC310450	ignored	3
dset-camcan	sub-CC310463	accepted	9
dset-camcan	sub-CC310463	rejected	14
dset-camcan	sub-CC310463	ignored	2
dset-camcan	sub-CC310473	accepted	5
dset-camcan	sub-CC310473	rejected	5
dset-camcan	sub-CC310473	ignored	1
dset-camcan	sub-CC312058	accepted	3
dset-camcan	sub-CC312058	rejected	8
dset-camcan	sub-CC312058	ignored	0
dset-camcan	sub-CC312222	accepted	2
dset-camcan	sub-CC312222	rejected	6
dset-camcan	sub-CC312222	ignored	4
dset-camcan	sub-CC320002	accepted	2
dset-camcan	sub-CC320002	rejected	6
dset-camcan	sub-CC320002	ignored	5
dset-camcan	sub-CC320022	accepted	3
dset-camcan	sub-CC320022	rejected	5
dset-camcan	sub-CC320022	ignored	2
dset-camcan	sub-CC320059	accepted	7
dset-camcan	sub-CC320059	rejected	7
dset-camcan	sub-CC320059	ignored	0
dset-camcan	sub-CC320088	accepted	3
dset-camcan	sub-CC320088	rejected	6
dset-camcan	sub-CC320088	ignored	6
dset-camcan	sub-CC320089	accepted	2
dset-camcan	sub-CC320089	rejected	9
dset-camcan	sub-CC320089	ignored	4
dset-camcan	sub-CC320107	accepted	2
dset-camcan	sub-CC320107	rejected	5
dset-camcan	sub-CC320107	ignored	3
dset-camcan	sub-CC320109	accepted	4
dset-camcan	sub-CC320109	rejected	7
dset-camcan	sub-CC320109	ignored	0
dset-camcan	sub-CC320160	accepted	4
dset-camcan	sub-CC320160	rejected	7
dset-camcan	sub-CC320160	ignored	2
dset-camcan	sub-CC320202	accepted	2
dset-camcan	sub-CC320202	rejected	6
dset-camcan	sub-CC320202	ignored	0
dset-camcan	sub-CC320206	accepted	2
dset-camcan	sub-CC320206	rejected	6
dset-camcan	sub-CC320206	ignored	2
dset-camcan	sub-CC320218	accepted	0
dset-camcan	sub-CC320218	rejected	6
dset-camcan	sub-CC320218	ignored	4
dset-camcan	sub-CC320267	accepted	0
dset-camcan	sub-CC320267	rejected	2
dset-camcan	sub-CC320267	ignored	8
dset-camcan	sub-CC320269	accepted	2
dset-camcan	sub-CC320269	rejected	4
dset-camcan	sub-CC320269	ignored	3
dset-camcan	sub-CC320297	accepted	4
dset-camcan	sub-CC320297	rejected	9
dset-camcan	sub-CC320297	ignored	0
dset-camcan	sub-CC320321	accepted	3
dset-camcan	sub-CC320321	rejected	6
dset-camcan	sub-CC320321	ignored	1
dset-camcan	sub-CC320325	accepted	4
dset-camcan	sub-CC320325	rejected	4
dset-camcan	sub-CC320325	ignored	1
dset-camcan	sub-CC320342	accepted	2
dset-camcan	sub-CC320342	rejected	7
dset-camcan	sub-CC320342	ignored	2
dset-camcan	sub-CC320359	accepted	4
dset-camcan	sub-CC320359	rejected	11
dset-camcan	sub-CC320359	ignored	2
dset-camcan	sub-CC320417	accepted	13
dset-camcan	sub-CC320417	rejected	7
dset-camcan	sub-CC320417	ignored	3
dset-camcan	sub-CC320429	accepted	3
dset-camcan	sub-CC320429	rejected	8
dset-camcan	sub-CC320429	ignored	3
dset-camcan	sub-CC320448	accepted	2
dset-camcan	sub-CC320448	rejected	10
dset-camcan	sub-CC320448	ignored	2
dset-camcan	sub-CC320461	accepted	3
dset-camcan	sub-CC320461	rejected	8
dset-camcan	sub-CC320461	ignored	4
dset-camcan	sub-CC320478	accepted	4
dset-camcan	sub-CC320478	rejected	9
dset-camcan	sub-CC320478	ignored	2
dset-camcan	sub-CC320500	accepted	2
dset-camcan	sub-CC320500	rejected	7
dset-camcan	sub-CC320500	ignored	3
dset-camcan	sub-CC320553	accepted	2
dset-camcan	sub-CC320553	rejected	8
dset-camcan	sub-CC320553	ignored	3
dset-camcan	sub-CC320568	accepted	8
dset-camcan	sub-CC320568	rejected	8
dset-camcan	sub-CC320568	ignored	0
dset-camcan	sub-CC320574	accepted	5
dset-camcan	sub-CC320574	rejected	8
dset-camcan	sub-CC320574	ignored	0
dset-camcan	sub-CC320575	accepted	11
dset-camcan	sub-CC320575	rejected	10
dset-camcan	sub-CC320575	ignored	0
dset-camcan	sub-CC320576	accepted	5
dset-camcan	sub-CC320576	rejected	12
dset-camcan	sub-CC320576	ignored	0
dset-camcan	sub-CC320608	accepted	5
dset-camcan	sub-CC320608	rejected	6
dset-camcan	sub-CC320608	ignored	0
dset-camcan	sub-CC320616	accepted	2
dset-camcan	sub-CC320616	rejected	8
dset-camcan	sub-CC320616	ignored	1
dset-camcan	sub-CC320621	accepted	6
dset-camcan	sub-CC320621	rejected	8
dset-camcan	sub-CC320621	ignored	0
dset-camcan	sub-CC320636	accepted	12
dset-camcan	sub-CC320636	rejected	18
dset-camcan	sub-CC320636	ignored	0
dset-camcan	sub-CC320651	accepted	5
dset-camcan	sub-CC320651	rejected	3
dset-camcan	sub-CC320651	ignored	1
dset-camcan	sub-CC320661	accepted	3
dset-camcan	sub-CC320661	rejected	7
dset-camcan	sub-CC320661	ignored	3
dset-camcan	sub-CC320680	accepted	3
dset-camcan	sub-CC320680	rejected	6
dset-camcan	sub-CC320680	ignored	4
dset-camcan	sub-CC320686	accepted	0
dset-camcan	sub-CC320686	rejected	4
dset-camcan	sub-CC320686	ignored	8
dset-camcan	sub-CC320687	accepted	0
dset-camcan	sub-CC320687	rejected	2
dset-camcan	sub-CC320687	ignored	8
dset-camcan	sub-CC320698	accepted	4
dset-camcan	sub-CC320698	rejected	5
dset-camcan	sub-CC320698	ignored	0
dset-camcan	sub-CC320759	accepted	8
dset-camcan	sub-CC320759	rejected	17
dset-camcan	sub-CC320759	ignored	3
dset-camcan	sub-CC320776	accepted	0
dset-camcan	sub-CC320776	rejected	6
dset-camcan	sub-CC320776	ignored	5
dset-camcan	sub-CC320814	accepted	4
dset-camcan	sub-CC320814	rejected	7
dset-camcan	sub-CC320814	ignored	5
dset-camcan	sub-CC320850	accepted	2
dset-camcan	sub-CC320850	rejected	4
dset-camcan	sub-CC320850	ignored	5
dset-camcan	sub-CC320870	accepted	0
dset-camcan	sub-CC320870	rejected	3
dset-camcan	sub-CC320870	ignored	7
dset-camcan	sub-CC320888	accepted	0
dset-camcan	sub-CC320888	rejected	3
dset-camcan	sub-CC320888	ignored	8
dset-camcan	sub-CC320893	accepted	3
dset-camcan	sub-CC320893	rejected	5
dset-camcan	sub-CC320893	ignored	0
dset-camcan	sub-CC320904	accepted	2
dset-camcan	sub-CC320904	rejected	3
dset-camcan	sub-CC320904	ignored	4
dset-camcan	sub-CC321000	accepted	2
dset-camcan	sub-CC321000	rejected	7
dset-camcan	sub-CC321000	ignored	2
dset-camcan	sub-CC321025	accepted	8
dset-camcan	sub-CC321025	rejected	3
dset-camcan	sub-CC321025	ignored	1
dset-camcan	sub-CC321069	accepted	5
dset-camcan	sub-CC321069	rejected	9
dset-camcan	sub-CC321069	ignored	0
dset-camcan	sub-CC321073	accepted	2
dset-camcan	sub-CC321073	rejected	5
dset-camcan	sub-CC321073	ignored	4
dset-camcan	sub-CC321087	accepted	2
dset-camcan	sub-CC321087	rejected	6
dset-camcan	sub-CC321087	ignored	2
dset-camcan	sub-CC321137	accepted	2
dset-camcan	sub-CC321137	rejected	8
dset-camcan	sub-CC321137	ignored	0
dset-camcan	sub-CC321154	accepted	0
dset-camcan	sub-CC321154	rejected	2
dset-camcan	sub-CC321154	ignored	8
dset-camcan	sub-CC321174	accepted	17
dset-camcan	sub-CC321174	rejected	8
dset-camcan	sub-CC321174	ignored	1
dset-camcan	sub-CC321203	accepted	12
dset-camcan	sub-CC321203	rejected	6
dset-camcan	sub-CC321203	ignored	0
dset-camcan	sub-CC321281	accepted	19
dset-camcan	sub-CC321281	rejected	11
dset-camcan	sub-CC321281	ignored	1
dset-camcan	sub-CC321291	accepted	14
dset-camcan	sub-CC321291	rejected	17
dset-camcan	sub-CC321291	ignored	1
dset-camcan	sub-CC321331	accepted	18
dset-camcan	sub-CC321331	rejected	7
dset-camcan	sub-CC321331	ignored	2
dset-camcan	sub-CC321368	accepted	3
dset-camcan	sub-CC321368	rejected	5
dset-camcan	sub-CC321368	ignored	2
dset-camcan	sub-CC321428	accepted	3
dset-camcan	sub-CC321428	rejected	6
dset-camcan	sub-CC321428	ignored	4
dset-camcan	sub-CC321431	accepted	4
dset-camcan	sub-CC321431	rejected	6
dset-camcan	sub-CC321431	ignored	1
dset-camcan	sub-CC321464	accepted	5
dset-camcan	sub-CC321464	rejected	7
dset-camcan	sub-CC321464	ignored	0
dset-camcan	sub-CC321504	accepted	7
dset-camcan	sub-CC321504	rejected	9
dset-camcan	sub-CC321504	ignored	1
dset-camcan	sub-CC321506	accepted	6
dset-camcan	sub-CC321506	rejected	17
dset-camcan	sub-CC321506	ignored	1
dset-camcan	sub-CC321529	accepted	5
dset-camcan	sub-CC321529	rejected	4
dset-camcan	sub-CC321529	ignored	4
dset-camcan	sub-CC321544	accepted	8
dset-camcan	sub-CC321544	rejected	13
dset-camcan	sub-CC321544	ignored	2
dset-camcan	sub-CC321557	accepted	2
dset-camcan	sub-CC321557	rejected	8
dset-camcan	sub-CC321557	ignored	4
dset-camcan	sub-CC321585	accepted	2
dset-camcan	sub-CC321585	rejected	7
dset-camcan	sub-CC321585	ignored	1
dset-camcan	sub-CC321594	accepted	2
dset-camcan	sub-CC321594	rejected	6
dset-camcan	sub-CC321594	ignored	2
dset-camcan	sub-CC321595	accepted	2
dset-camcan	sub-CC321595	rejected	6
dset-camcan	sub-CC321595	ignored	0
dset-camcan	sub-CC321880	accepted	2
dset-camcan	sub-CC321880	rejected	7
dset-camcan	sub-CC321880	ignored	2
dset-camcan	sub-CC321899	accepted	2
dset-camcan	sub-CC321899	rejected	8
dset-camcan	sub-CC321899	ignored	0
dset-camcan	sub-CC321976	accepted	1
dset-camcan	sub-CC321976	rejected	5
dset-camcan	sub-CC321976	ignored	4
dset-camcan	sub-CC322186	accepted	6
dset-camcan	sub-CC322186	rejected	6
dset-camcan	sub-CC322186	ignored	0
dset-camcan	sub-CC410015	accepted	2
dset-camcan	sub-CC410015	rejected	9
dset-camcan	sub-CC410015	ignored	2
dset-camcan	sub-CC410040	accepted	4
dset-camcan	sub-CC410040	rejected	10
dset-camcan	sub-CC410040	ignored	0
dset-camcan	sub-CC410084	accepted	5
dset-camcan	sub-CC410084	rejected	8
dset-camcan	sub-CC410084	ignored	1
dset-camcan	sub-CC410086	accepted	2
dset-camcan	sub-CC410086	rejected	9
dset-camcan	sub-CC410086	ignored	3
dset-camcan	sub-CC410091	accepted	9
dset-camcan	sub-CC410091	rejected	5
dset-camcan	sub-CC410091	ignored	2
dset-camcan	sub-CC410094	accepted	2
dset-camcan	sub-CC410094	rejected	7
dset-camcan	sub-CC410094	ignored	3
dset-camcan	sub-CC410097	accepted	11
dset-camcan	sub-CC410097	rejected	11
dset-camcan	sub-CC410097	ignored	3
dset-camcan	sub-CC410101	accepted	3
dset-camcan	sub-CC410101	rejected	6
dset-camcan	sub-CC410101	ignored	4
dset-camcan	sub-CC410113	accepted	4
dset-camcan	sub-CC410113	rejected	10
dset-camcan	sub-CC410113	ignored	0
dset-camcan	sub-CC410119	accepted	0
dset-camcan	sub-CC410119	rejected	12
dset-camcan	sub-CC410119	ignored	12
dset-camcan	sub-CC410121	accepted	6
dset-camcan	sub-CC410121	rejected	3
dset-camcan	sub-CC410121	ignored	0
dset-camcan	sub-CC410169	accepted	7
dset-camcan	sub-CC410169	rejected	2
dset-camcan	sub-CC410169	ignored	0
dset-camcan	sub-CC410173	accepted	3
dset-camcan	sub-CC410173	rejected	16
dset-camcan	sub-CC410173	ignored	0
dset-camcan	sub-CC410177	accepted	3
dset-camcan	sub-CC410177	rejected	8
dset-camcan	sub-CC410177	ignored	2
dset-camcan	sub-CC410179	accepted	5
dset-camcan	sub-CC410179	rejected	11
dset-camcan	sub-CC410179	ignored	1
dset-camcan	sub-CC410182	accepted	12
dset-camcan	sub-CC410182	rejected	16
dset-camcan	sub-CC410182	ignored	2
dset-camcan	sub-CC410220	accepted	9
dset-camcan	sub-CC410220	rejected	7
dset-camcan	sub-CC410220	ignored	0
dset-camcan	sub-CC410222	accepted	19
dset-camcan	sub-CC410222	rejected	15
dset-camcan	sub-CC410222	ignored	2
dset-camcan	sub-CC410226	accepted	3
dset-camcan	sub-CC410226	rejected	5
dset-camcan	sub-CC410226	ignored	1
dset-camcan	sub-CC410243	accepted	2
dset-camcan	sub-CC410243	rejected	10
dset-camcan	sub-CC410243	ignored	6
dset-camcan	sub-CC410248	accepted	0
dset-camcan	sub-CC410248	rejected	6
dset-camcan	sub-CC410248	ignored	7
dset-camcan	sub-CC410251	accepted	9
dset-camcan	sub-CC410251	rejected	6
dset-camcan	sub-CC410251	ignored	0
dset-camcan	sub-CC410284	accepted	0
dset-camcan	sub-CC410284	rejected	5
dset-camcan	sub-CC410284	ignored	6
dset-camcan	sub-CC410287	accepted	7
dset-camcan	sub-CC410287	rejected	18
dset-camcan	sub-CC410287	ignored	1
dset-camcan	sub-CC410289	accepted	11
dset-camcan	sub-CC410289	rejected	13
dset-camcan	sub-CC410289	ignored	0
dset-camcan	sub-CC410297	accepted	6
dset-camcan	sub-CC410297	rejected	20
dset-camcan	sub-CC410297	ignored	4
dset-camcan	sub-CC410323	accepted	3
dset-camcan	sub-CC410323	rejected	6
dset-camcan	sub-CC410323	ignored	1
dset-camcan	sub-CC410325	accepted	4
dset-camcan	sub-CC410325	rejected	7
dset-camcan	sub-CC410325	ignored	2
dset-camcan	sub-CC410354	accepted	2
dset-camcan	sub-CC410354	rejected	8
dset-camcan	sub-CC410354	ignored	0
dset-camcan	sub-CC410387	accepted	4
dset-camcan	sub-CC410387	rejected	5
dset-camcan	sub-CC410387	ignored	0
dset-camcan	sub-CC410390	accepted	6
dset-camcan	sub-CC410390	rejected	4
dset-camcan	sub-CC410390	ignored	0
dset-camcan	sub-CC410432	accepted	1
dset-camcan	sub-CC410432	rejected	5
dset-camcan	sub-CC410432	ignored	4
dset-camcan	sub-CC412004	accepted	4
dset-camcan	sub-CC412004	rejected	6
dset-camcan	sub-CC412004	ignored	0
dset-camcan	sub-CC412021	accepted	15
dset-camcan	sub-CC412021	rejected	15
dset-camcan	sub-CC412021	ignored	0
dset-camcan	sub-CC420004	accepted	3
dset-camcan	sub-CC420004	rejected	7
dset-camcan	sub-CC420004	ignored	3
dset-camcan	sub-CC420060	accepted	4
dset-camcan	sub-CC420060	rejected	10
dset-camcan	sub-CC420060	ignored	0
dset-camcan	sub-CC420061	accepted	4
dset-camcan	sub-CC420061	rejected	6
dset-camcan	sub-CC420061	ignored	2
dset-camcan	sub-CC420071	accepted	9
dset-camcan	sub-CC420071	rejected	8
dset-camcan	sub-CC420071	ignored	0
dset-camcan	sub-CC420075	accepted	5
dset-camcan	sub-CC420075	rejected	9
dset-camcan	sub-CC420075	ignored	0
dset-camcan	sub-CC420089	accepted	3
dset-camcan	sub-CC420089	rejected	5
dset-camcan	sub-CC420089	ignored	3
dset-camcan	sub-CC420091	accepted	2
dset-camcan	sub-CC420091	rejected	7
dset-camcan	sub-CC420091	ignored	0
dset-camcan	sub-CC420094	accepted	3
dset-camcan	sub-CC420094	rejected	9
dset-camcan	sub-CC420094	ignored	2
dset-camcan	sub-CC420100	accepted	0
dset-camcan	sub-CC420100	rejected	5
dset-camcan	sub-CC420100	ignored	3
dset-camcan	sub-CC420137	accepted	6
dset-camcan	sub-CC420137	rejected	8
dset-camcan	sub-CC420137	ignored	2
dset-camcan	sub-CC420143	accepted	9
dset-camcan	sub-CC420143	rejected	13
dset-camcan	sub-CC420143	ignored	1
dset-camcan	sub-CC420148	accepted	0
dset-camcan	sub-CC420148	rejected	1
dset-camcan	sub-CC420148	ignored	10
dset-camcan	sub-CC420149	accepted	4
dset-camcan	sub-CC420149	rejected	5
dset-camcan	sub-CC420149	ignored	5
dset-camcan	sub-CC420157	accepted	6
dset-camcan	sub-CC420157	rejected	18
dset-camcan	sub-CC420157	ignored	3
dset-camcan	sub-CC420162	accepted	2
dset-camcan	sub-CC420162	rejected	5
dset-camcan	sub-CC420162	ignored	5
dset-camcan	sub-CC420167	accepted	0
dset-camcan	sub-CC420167	rejected	3
dset-camcan	sub-CC420167	ignored	7
dset-camcan	sub-CC420173	accepted	6
dset-camcan	sub-CC420173	rejected	7
dset-camcan	sub-CC420173	ignored	0
dset-camcan	sub-CC420180	accepted	11
dset-camcan	sub-CC420180	rejected	9
dset-camcan	sub-CC420180	ignored	0
dset-camcan	sub-CC420182	accepted	5
dset-camcan	sub-CC420182	rejected	9
dset-camcan	sub-CC420182	ignored	2
dset-camcan	sub-CC420197	accepted	4
dset-camcan	sub-CC420197	rejected	4
dset-camcan	sub-CC420197	ignored	0
dset-camcan	sub-CC420198	accepted	9
dset-camcan	sub-CC420198	rejected	6
dset-camcan	sub-CC420198	ignored	1
dset-camcan	sub-CC420202	accepted	4
dset-camcan	sub-CC420202	rejected	9
dset-camcan	sub-CC420202	ignored	0
dset-camcan	sub-CC420204	accepted	12
dset-camcan	sub-CC420204	rejected	7
dset-camcan	sub-CC420204	ignored	1
dset-camcan	sub-CC420217	accepted	0
dset-camcan	sub-CC420217	rejected	8
dset-camcan	sub-CC420217	ignored	4
dset-camcan	sub-CC420222	accepted	0
dset-camcan	sub-CC420222	rejected	4
dset-camcan	sub-CC420222	ignored	6
dset-camcan	sub-CC420226	accepted	7
dset-camcan	sub-CC420226	rejected	9
dset-camcan	sub-CC420226	ignored	0
dset-camcan	sub-CC420229	accepted	3
dset-camcan	sub-CC420229	rejected	4
dset-camcan	sub-CC420229	ignored	2
dset-camcan	sub-CC420231	accepted	4
dset-camcan	sub-CC420231	rejected	8
dset-camcan	sub-CC420231	ignored	0
dset-camcan	sub-CC420236	accepted	4
dset-camcan	sub-CC420236	rejected	5
dset-camcan	sub-CC420236	ignored	2
dset-camcan	sub-CC420241	accepted	3
dset-camcan	sub-CC420241	rejected	9
dset-camcan	sub-CC420241	ignored	4
dset-camcan	sub-CC420259	accepted	6
dset-camcan	sub-CC420259	rejected	5
dset-camcan	sub-CC420259	ignored	2
dset-camcan	sub-CC420260	accepted	4
dset-camcan	sub-CC420260	rejected	8
dset-camcan	sub-CC420260	ignored	4
dset-camcan	sub-CC420261	accepted	9
dset-camcan	sub-CC420261	rejected	6
dset-camcan	sub-CC420261	ignored	0
dset-camcan	sub-CC420286	accepted	2
dset-camcan	sub-CC420286	rejected	9
dset-camcan	sub-CC420286	ignored	2
dset-camcan	sub-CC420322	accepted	0
dset-camcan	sub-CC420322	rejected	6
dset-camcan	sub-CC420322	ignored	4
dset-camcan	sub-CC420324	accepted	10
dset-camcan	sub-CC420324	rejected	16
dset-camcan	sub-CC420324	ignored	2
dset-camcan	sub-CC420348	accepted	10
dset-camcan	sub-CC420348	rejected	12
dset-camcan	sub-CC420348	ignored	2
dset-camcan	sub-CC420356	accepted	3
dset-camcan	sub-CC420356	rejected	4
dset-camcan	sub-CC420356	ignored	2
dset-camcan	sub-CC420383	accepted	3
dset-camcan	sub-CC420383	rejected	7
dset-camcan	sub-CC420383	ignored	2
dset-camcan	sub-CC420392	accepted	6
dset-camcan	sub-CC420392	rejected	7
dset-camcan	sub-CC420392	ignored	2
dset-camcan	sub-CC420396	accepted	3
dset-camcan	sub-CC420396	rejected	4
dset-camcan	sub-CC420396	ignored	4
dset-camcan	sub-CC420402	accepted	13
dset-camcan	sub-CC420402	rejected	13
dset-camcan	sub-CC420402	ignored	0
dset-camcan	sub-CC420412	accepted	3
dset-camcan	sub-CC420412	rejected	9
dset-camcan	sub-CC420412	ignored	5
dset-camcan	sub-CC420433	accepted	0
dset-camcan	sub-CC420433	rejected	5
dset-camcan	sub-CC420433	ignored	6
dset-camcan	sub-CC420435	accepted	5
dset-camcan	sub-CC420435	rejected	6
dset-camcan	sub-CC420435	ignored	1
dset-camcan	sub-CC420454	accepted	5
dset-camcan	sub-CC420454	rejected	6
dset-camcan	sub-CC420454	ignored	5
dset-camcan	sub-CC420462	accepted	7
dset-camcan	sub-CC420462	rejected	4
dset-camcan	sub-CC420462	ignored	0
dset-camcan	sub-CC420464	accepted	4
dset-camcan	sub-CC420464	rejected	7
dset-camcan	sub-CC420464	ignored	0
dset-camcan	sub-CC420493	accepted	4
dset-camcan	sub-CC420493	rejected	8
dset-camcan	sub-CC420493	ignored	6
dset-camcan	sub-CC420566	accepted	3
dset-camcan	sub-CC420566	rejected	11
dset-camcan	sub-CC420566	ignored	9
dset-camcan	sub-CC420582	accepted	3
dset-camcan	sub-CC420582	rejected	9
dset-camcan	sub-CC420582	ignored	1
dset-camcan	sub-CC420589	accepted	1
dset-camcan	sub-CC420589	rejected	8
dset-camcan	sub-CC420589	ignored	1
dset-camcan	sub-CC420623	accepted	15
dset-camcan	sub-CC420623	rejected	26
dset-camcan	sub-CC420623	ignored	0
dset-camcan	sub-CC420729	accepted	7
dset-camcan	sub-CC420729	rejected	7
dset-camcan	sub-CC420729	ignored	0
dset-camcan	sub-CC420776	accepted	4
dset-camcan	sub-CC420776	rejected	4
dset-camcan	sub-CC420776	ignored	2
dset-camcan	sub-CC420888	accepted	3
dset-camcan	sub-CC420888	rejected	11
dset-camcan	sub-CC420888	ignored	2
dset-camcan	sub-CC510015	accepted	0
dset-camcan	sub-CC510015	rejected	5
dset-camcan	sub-CC510015	ignored	7
dset-camcan	sub-CC510039	accepted	3
dset-camcan	sub-CC510039	rejected	7
dset-camcan	sub-CC510039	ignored	2
dset-camcan	sub-CC510050	accepted	2
dset-camcan	sub-CC510050	rejected	6
dset-camcan	sub-CC510050	ignored	5
dset-camcan	sub-CC510076	accepted	7
dset-camcan	sub-CC510076	rejected	6
dset-camcan	sub-CC510076	ignored	0
dset-camcan	sub-CC510086	accepted	4
dset-camcan	sub-CC510086	rejected	6
dset-camcan	sub-CC510086	ignored	0
dset-camcan	sub-CC510115	accepted	7
dset-camcan	sub-CC510115	rejected	13
dset-camcan	sub-CC510115	ignored	0
dset-camcan	sub-CC510161	accepted	5
dset-camcan	sub-CC510161	rejected	12
dset-camcan	sub-CC510161	ignored	0
dset-camcan	sub-CC510163	accepted	4
dset-camcan	sub-CC510163	rejected	6
dset-camcan	sub-CC510163	ignored	2
dset-camcan	sub-CC510208	accepted	4
dset-camcan	sub-CC510208	rejected	11
dset-camcan	sub-CC510208	ignored	2
dset-camcan	sub-CC510220	accepted	15
dset-camcan	sub-CC510220	rejected	8
dset-camcan	sub-CC510220	ignored	0
dset-camcan	sub-CC510226	accepted	7
dset-camcan	sub-CC510226	rejected	11
dset-camcan	sub-CC510226	ignored	2
dset-camcan	sub-CC510237	accepted	3
dset-camcan	sub-CC510237	rejected	8
dset-camcan	sub-CC510237	ignored	3
dset-camcan	sub-CC510242	accepted	3
dset-camcan	sub-CC510242	rejected	6
dset-camcan	sub-CC510242	ignored	4
dset-camcan	sub-CC510243	accepted	15
dset-camcan	sub-CC510243	rejected	12
dset-camcan	sub-CC510243	ignored	2
dset-camcan	sub-CC510255	accepted	16
dset-camcan	sub-CC510255	rejected	11
dset-camcan	sub-CC510255	ignored	0
dset-camcan	sub-CC510256	accepted	6
dset-camcan	sub-CC510256	rejected	9
dset-camcan	sub-CC510256	ignored	0
dset-camcan	sub-CC510258	accepted	13
dset-camcan	sub-CC510258	rejected	15
dset-camcan	sub-CC510258	ignored	0
dset-camcan	sub-CC510259	accepted	12
dset-camcan	sub-CC510259	rejected	14
dset-camcan	sub-CC510259	ignored	1
dset-camcan	sub-CC510284	accepted	9
dset-camcan	sub-CC510284	rejected	20
dset-camcan	sub-CC510284	ignored	1
dset-camcan	sub-CC510304	accepted	2
dset-camcan	sub-CC510304	rejected	9
