dataset	participant_id	classification	count
dset-cambridge	sub-21252	rejected	15
dset-cambridge	sub-21252	ignored	7
dset-cambridge	sub-21253	accepted	15
dset-cambridge	sub-21253	rejected	43
dset-cambridge	sub-21253	ignored	1
dset-cambridge	sub-21254	accepted	18
dset-cambridge	sub-21254	rejected	17
dset-cambridge	sub-21254	ignored	0
dset-cambridge	sub-21256	accepted	13
dset-cambridge	sub-21256	rejected	29
dset-cambridge	sub-21256	ignored	0
dset-cambridge	sub-21258	accepted	12
dset-cambridge	sub-21258	rejected	17
dset-cambridge	sub-21258	ignored	3
dset-cambridge	sub-21260	accepted	18
dset-cambridge	sub-21260	rejected	13
dset-cambridge	sub-21260	ignored	1
dset-cambridge	sub-21261	accepted	15
dset-cambridge	sub-21261	rejected	10
dset-cambridge	sub-21261	ignored	2
dset-cambridge	sub-21262	accepted	5
dset-cambridge	sub-21262	rejected	10
dset-cambridge	sub-21262	ignored	1
dset-cambridge	sub-21270	accepted	12
dset-cambridge	sub-21270	rejected	28
dset-cambridge	sub-21270	ignored	2
dset-cambridge	sub-21273	accepted	17
dset-cambridge	sub-21273	rejected	23
dset-cambridge	sub-21273	ignored	2
dset-cambridge	sub-21277	accepted	15
dset-cambridge	sub-21277	rejected	13
dset-cambridge	sub-21277	ignored	6
dset-cambridge	sub-21278	accepted	8
dset-cambridge	sub-21278	rejected	17
dset-cambridge	sub-21278	ignored	2
dset-cambridge	sub-21279	accepted	6
dset-cambridge	sub-21279	rejected	22
dset-cambridge	sub-21279	ignored	2
dset-cambridge	sub-21281	accepted	21
dset-cambridge	sub-21281	rejected	15
dset-cambridge	sub-21281	ignored	0
dset-cambridge	sub-21283	accepted	9
dset-cambridge	sub-21283	rejected	20
dset-cambridge	sub-21283	ignored	3
dset-cambridge	sub-21300	accepted	14
dset-cambridge	sub-21300	rejected	12
dset-cambridge	sub-21300	ignored	2
dset-cambridge	sub-21302	accepted	14
dset-cambridge	sub-21302	rejected	9
dset-cambridge	sub-21302	ignored	3
dset-cambridge	sub-21304	accepted	21
dset-cambridge	sub-21304	rejected	5
dset-cambridge	sub-21304	ignored	0
dset-cambridge	sub-21305	accepted	14
dset-cambridge	sub-21305	rejected	21
dset-cambridge	sub-21305	ignored	6
dset-cambridge	sub-21306	accepted	4
dset-cambridge	sub-21306	rejected	13
dset-cambridge	sub-21306	ignored	3
dset-cambridge	sub-21317	accepted	19
dset-cambridge	sub-21317	rejected	28
dset-cambridge	sub-21317	ignored	0
dset-cambridge	sub-21318	accepted	16
dset-cambridge	sub-21318	rejected	13
dset-cambridge	sub-21318	ignored	3
dset-cambridge	sub-21324	accepted	19
dset-cambridge	sub-21324	rejected	14
dset-cambridge	sub-21324	ignored	15
dset-cambridge	sub-21371	accepted	13
dset-cambridge	sub-21371	rejected	15
dset-cambridge	sub-21371	ignored	2
dset-cambridge	sub-21384	accepted	7
dset-cambridge	sub-21384	rejected	9
dset-cambridge	sub-21384	ignored	4
dset-cambridge	sub-21448	accepted	16
dset-cambridge	sub-21448	rejected	16
dset-cambridge	sub-21448	ignored	3
dset-cambridge	sub-21449	accepted	17
dset-cambridge	sub-21449	rejected	43
dset-cambridge	sub-21449	ignored	5
dset-cambridge	sub-21452	accepted	17
dset-cambridge	sub-21452	rejected	14
dset-cambridge	sub-21452	ignored	5
dset-cambridge	sub-21453	accepted	12
dset-cambridge	sub-21453	rejected	22
dset-cambridge	sub-21453	ignored	1
dset-cambridge	sub-21456	accepted	11
dset-cambridge	sub-21456	rejected	32
dset-cambridge	sub-21456	ignored	5
dset-cambridge	sub-21611	accepted	28
dset-cambridge	sub-21611	rejected	13
dset-cambridge	sub-21611	ignored	0
dset-cambridge	sub-21641	accepted	17
dset-cambridge	sub-21641	rejected	19
dset-cambridge	sub-21641	ignored	2
dset-cambridge	sub-21644	accepted	11
dset-cambridge	sub-21644	rejected	10
dset-cambridge	sub-21644	ignored	3
dset-cambridge	sub-21645	accepted	8
dset-cambridge	sub-21645	rejected	20
dset-cambridge	sub-21645	ignored	9
dset-cambridge	sub-21646	accepted	16
dset-cambridge	sub-21646	rejected	12
dset-cambridge	sub-21646	ignored	7
dset-cambridge	sub-21652	accepted	12
dset-cambridge	sub-21652	rejected	17
dset-cambridge	sub-21652	ignored	5
dset-cambridge	sub-21656	accepted	21
dset-cambridge	sub-21656	rejected	16
dset-cambridge	sub-21656	ignored	3
dset-cambridge	sub-21657	accepted	13
dset-cambridge	sub-21657	rejected	22
dset-cambridge	sub-21657	ignored	4
dset-cambridge	sub-21658	accepted	20
dset-cambridge	sub-21658	rejected	11
dset-cambridge	sub-21658	ignored	5
dset-camcan	sub-CC110033	accepted	0
dset-camcan	sub-CC110033	rejected	5
dset-camcan	sub-CC110033	ignored	7
dset-camcan	sub-CC110037	accepted	0
dset-camcan	sub-CC110037	rejected	4
dset-camcan	sub-CC110037	ignored	8
dset-camcan	sub-CC110045	accepted	3
dset-camcan	sub-CC110045	rejected	5
dset-camcan	sub-CC110045	ignored	2
dset-camcan	sub-CC110056	accepted	12
dset-camcan	sub-CC110056	rejected	18
dset-camcan	sub-CC110056	ignored	2
dset-camcan	sub-CC110069	accepted	2
dset-camcan	sub-CC110069	rejected	6
dset-camcan	sub-CC110069	ignored	5
dset-camcan	sub-CC110087	accepted	4
dset-camcan	sub-CC110087	rejected	8
dset-camcan	sub-CC110087	ignored	1
dset-camcan	sub-CC110098	accepted	14
