distance	qcrsfc	highlow	scrubbing
10.344	-0.06582811729979703	-0.16071146639188244	-0.005379627948814954
10.44	-0.09857002744168489	-0.1579884120733695	-0.004165017680724977
10.488	0.03607012709481845	0.03247040361425002	-0.0015895712862675194
10.488	-0.030832178236131925	-0.026505489718463192	0.005124104568734878
10.488	-0.04744823436283249	-0.0326222516166329	-0.0015368592192809313
10.677	-0.12550759076603785	-0.06360393149130306	-0.008875141401581415
10.817	-0.04185529948354247	-0.07273955736523856	0.001237150595526073
10.817	-0.056863747847178084	-0.1573478670922045	-0.00801326504948989
10.863	-0.053849489973704194	-0.11444082172162147	0.004037290267094121
10.863	-0.0053929840451115525	-0.1606325573642015	0.000480488719346348
10.863	-0.06754902578358307	-0.13182098623244065	-0.00851467133112024
11.0	-0.032722228134835274	-0.01974694597275671	-0.00781441601248378
11.0	-0.09316627282916577	-0.04887292776620909	-0.009553695491250949
11.045	-0.07381914661139101	-0.14595158808446723	0.0032256865736638163
11.045	-0.1782128068169494	-0.3843222027373672	-0.005448522018284222
11.091	0.009704360920054791	-0.01214901173300248	-0.0009969048809533492
11.18	0.036575368641327044	0.05385772973835853	-0.004490253989781665
11.18	-0.06808048200320702	-0.11563137444318344	0.004485161820815406
11.18	-0.1383862158524821	-0.23830004036308305	-0.009937047596053624
11.18	0.004209068299606412	-0.06266136733554509	-0.0041028754550424635
11.18	0.038662468290672825	0.09979345251181644	-0.0017632394139178963
11.225	-0.06768194701253571	-0.18694113360957956	-0.003261049771788285
11.225	-0.1618344138769181	-0.22875291866683511	-0.006062515756466074
11.225	0.011058617109868172	0.08283001198131405	0.008392799885756379
11.225	-0.065379933837433	-0.1614306378364283	-0.0008412408800720445
11.225	-0.07575528387376235	-0.13762519554025412	-0.0026934625793079013
11.225	0.04721492663464797	0.0005144567015938836	-0.0029148957347267684
11.225	0.0010936237700974296	0.01650045913259715	-0.0027515452396807065
11.314	-0.04026065545699855	-0.08002689258336382	-0.0036473585336822254
11.358	-0.02224276843368958	-0.1078219129747678	9.94581944468736e-07
11.358	-0.10491229754345206	-0.1617686020889533	-0.0019400389250451172
11.402	-0.08787612326013741	-0.3125205413383035	-0.003403379264305981
11.402	-0.0747067967498352	-0.1710195527432281	0.0010280338467749963
11.402	0.03221097446816188	0.025956451207163535	0.004382104104730979
11.402	-0.014927648980360158	0.008082463273900994	0.003470231277533346
11.446	-0.06113034024032432	-0.07009640745465212	-0.0015541183160518864
11.489	0.03118014385360433	-0.0027941145396836453	-0.004846717498540983
11.533	-0.08684813374418077	-0.18653247549148907	-0.0061028766768798405
11.576	0.05922873328066206	0.1164760491002002	0.000986826275531452
11.576	-0.006670597263936887	-0.042621040533118174	0.0022868801893708877
11.576	-0.001414040642173232	-0.031729193821115886	0.0008758096194350228
11.576	-0.11995708531336463	-0.1163910853689295	-0.005378690109422191
11.662	-0.0226286162700495	-0.07835949646480256	-0.013836417747051546
11.662	-0.031088408101199817	-0.17956374450144022	-0.005814686775917825
11.662	-0.05095208124937267	-0.09110716444322983	0.009699585393921222
11.705	-0.07008090948157526	-0.21674153894028966	-0.00258305435485785
11.705	0.009083540129010137	0.013005394567887796	0.0016480991140453232
11.705	-0.05602398680606008	-0.157186722026268	-0.0018659868092073908
11.705	-0.04603603599395484	0.06263596274473804	-0.012419538926135744
11.747	-0.17516255114497084	-0.3125578622586527	-0.0035876079545343292
11.747	-0.1105796376083529	-0.19155713819804276	-0.003738300296603925
11.747	-0.08762310316346444	-0.18550094193459554	-0.00827998167403138
11.747	-0.06176352493251741	-0.03843021988533546	-0.008283656101269707
11.79	0.00911797629089549	0.06862151046735698	-0.004846351944644463
11.79	-0.07304577245359238	-0.1196541759396006	0.0006668471504655839
11.832	0.0052774945387208646	-0.09421724636901443	-0.0032151245548020136
11.874	-0.008727271292550264	-0.04533868679398048	0.00019298344460769604
11.874	-0.17449300194735934	-0.2334811356337252	-0.00878860639344567
11.874	-0.052102457520615646	-0.13422868963666068	0.006331790796680297
11.874	-0.06366250044120697	-0.10738934760945985	-0.003965004738170103
12.0	0.003990168148641272	0.06884564517879684	-0.0108576872953592
12.0	-0.02285967464677343	0.07740920811810947	0.0007196985029808036
12.0	-0.023365877197610466	-0.05097854830992002	-0.00242196741021548
12.042	-0.04733021005552523	-0.10765852388229762	-0.0008000599557912842
12.042	-0.006900172859326005	-0.04416035779762757	0.004291376797343239
12.042	-0.04168879984463246	-0.08709169765108782	-0.006096674732066679
12.083	-0.01929960607388885	-0.05233192830154479	0.0032934343717433857
12.124	-0.055632004196948956	-0.009553043092714986	-0.0008340671471854179
12.166	-0.02973275895300407	-0.053631757692467336	-0.004038874185441662
12.207	-0.03379345339244674	-0.12426473019765397	-0.006482355939765803
12.207	0.04290379881416444	0.09129556671695385	0.004161698276600332
12.207	-0.07167222177271254	-0.11383483314845017	0.001196996302023513
12.207	-0.02213387877510372	-0.010592356363849309	0.0020696610753472935
12.207	-0.11458685955345636	-0.20298908063125276	-0.00509807281322636
12.247	-0.08619799100360358	-0.19154015569533694	-0.00633427253847763
12.329	-0.0514775300468138	-0.19812593212898036	-0.005721227951443416
12.329	-0.07576109236359095	-0.2701580607983286	-0.012873012716163448
12.369	-0.14138673041285788	-0.3144003840167193	-0.00813803488730423
12.369	0.026348288817574454	-0.017271837281427442	0.001464620161582152
12.369	-0.05722037121984819	-0.014796318584267665	-0.006521777554325266
12.369	-0.013652319011053697	0.06113588257133307	-0.00866389679527358
12.369	-0.07590377108862176	-0.1283913947469763	-0.003245663702211151
12.41	-0.08610228588967006	-0.1642429693011921	-0.011793886324287626
12.45	0.019052020243054343	-0.08029274964794059	0.0046711443846318675
12.45	-0.019500150397114665	-0.06205862819623767	0.005836570142097446
