dataset	subject	Cortical Ribbon	Subcortical Nuclei	Cerebellum	Superficial WM	Deeper WM	Deepest WM	Superficial CSF	Deeper CSF
dset-camcan	sub-CC320888	11064	851	2721	8026	2694	1775	810	103
dset-camcan	sub-CC320893	11934	825	2638	9005	3446	2351	1079	276
dset-camcan	sub-CC320904	12957	867	2647	9426	3372	2323	1055	210
dset-camcan	sub-CC321000	14678	1011	2980	9565	3264	2241	1007	161
dset-camcan	sub-CC321025	13711	1042	2907	8643	3371	2964	980	146
dset-camcan	sub-CC321069	14129	1153	3146	9362	3664	3117	763	11
dset-camcan	sub-CC321073	12081	834	2454	9233	3147	1966	1093	332
dset-camcan	sub-CC321087	10772	785	2145	7188	2084	1474	686	23
dset-camcan	sub-CC321137	10019	797	2329	7106	2399	1340	801	94
dset-camcan	sub-CC321154	11931	891	2240	9489	3219	1989	1061	295
dset-camcan	sub-CC321174	10954	795	2309	7672	2663	1504	900	150
dset-camcan	sub-CC321203	12553	940	2528	8462	3096	2061	884	47
dset-camcan	sub-CC321281	10575	747	2331	7542	2587	1512	928	160
dset-camcan	sub-CC321291	12048	829	2383	8758	2945	2211	1108	346
dset-camcan	sub-CC321331	14349	980	2704	9309	3358	2233	1001	65
dset-camcan	sub-CC321368	13491	956	2682	9089	3235	2301	819	45
dset-camcan	sub-CC321428	11420	791	2368	7888	2739	1878	629	12
dset-camcan	sub-CC321431	11089	810	2353	8104	3121	2348	793	152
dset-camcan	sub-CC321464	11641	907	2551	8323	2954	2008	873	241
dset-camcan	sub-CC321504	13182	1026	2845	9351	3229	2246	985	100
dset-camcan	sub-CC321506	10129	816	2040	7457	2851	2118	677	35
dset-camcan	sub-CC321529	10173	839	2446	6893	2582	1671	644	81
dset-camcan	sub-CC321544	12861	969	2576	9456	3565	2948	878	64
dset-camcan	sub-CC321557	11098	810	2416	8352	2981	1799	936	86
dset-camcan	sub-CC321585	11637	793	2276	8146	2808	1973	799	38
dset-camcan	sub-CC321594	12907	938	2983	8781	3139	2103	1000	165
dset-camcan	sub-CC321595	12065	811	2488	8317	3046	2092	707	25
dset-camcan	sub-CC321880	9457	741	2350	6921	2465	1874	741	60
dset-camcan	sub-CC321899	11629	881	2607	8194	2573	1652	782	78
dset-camcan	sub-CC321976	12202	880	2728	8566	3334	2377	901	143
dset-camcan	sub-CC322186	13066	945	2624	9542	3718	2785	1179	344
dset-camcan	sub-CC410015	10884	786	2309	7920	2449	1450	768	35
dset-camcan	sub-CC410040	15040	1104	2937	10697	3781	2806	1060	104
dset-camcan	sub-CC410084	10227	763	2575	7872	2624	1486	917	212
dset-camcan	sub-CC410086	11885	951	2587	8376	3138	2331	838	40
dset-camcan	sub-CC410091	11366	851	2423	8151	2718	1925	863	133
dset-camcan	sub-CC410094	11199	861	2542	8179	3128	2113	926	99
dset-camcan	sub-CC410097	9806	788	2313	7165	2621	1731	749	140
dset-camcan	sub-CC410101	11241	849	2687	8319	3001	1970	864	54
dset-camcan	sub-CC410113	15193	879	2758	10019	3437	1891	1053	207
dset-camcan	sub-CC410119	10729	909	2520	8717	3249	1995	828	299
dset-camcan	sub-CC410121	10395	809	2387	7461	2552	1482	887	134
dset-camcan	sub-CC410169	11777	864	2451	8153	2893	2137	709	86
dset-camcan	sub-CC410173	10977	873	2102	8339	3282	2985	782	85
dset-camcan	sub-CC410177	12203	898	3047	9568	3595	2697	896	80
dset-camcan	sub-CC410179	11823	874	2774	9285	3398	2258	919	55
dset-camcan	sub-CC410182	11542	840	2109	8084	2880	2088	736	18
dset-camcan	sub-CC410220	10565	816	2435	7066	2559	1706	754	155
dset-camcan	sub-CC410222	11944	875	2355	8055	2561	1699	928	171
dset-camcan	sub-CC410226	10793	898	2500	7923	3149	2296	879	82
dset-camcan	sub-CC410243	10776	799	2443	7668	2704	1942	816	79
dset-camcan	sub-CC410248	11560	837	2599	8758	3195	1757	1314	1012
dset-camcan	sub-CC410251	10330	838	2219	6996	2648	1851	711	31
dset-camcan	sub-CC410284	9970	763	2387	7247	2378	1588	611	9
dset-camcan	sub-CC410287	11212	832	2287	8327	2682	1703	851	359
dset-camcan	sub-CC410289	10919	805	2110	7677	2643	1868	759	46
dset-camcan	sub-CC410297	10032	693	2211	7714	3023	2187	753	25
dset-camcan	sub-CC410323	10819	782	2455	7909	2614	1727	1014	193
dset-camcan	sub-CC410325	10546	832	2634	8284	3177	2322	699	13
dset-camcan	sub-CC410354	12717	945	2412	9054	3516	2826	863	75
dset-camcan	sub-CC410387	11485	917	2510	8117	2856	1740	730	88
dset-camcan	sub-CC410390	12419	903	2593	8821	3311	2121	678	92
dset-camcan	sub-CC410432	12092	971	2657	9273	3307	2497	1091	219
dset-camcan	sub-CC412004	13363	955	2615	9262	3279	2102	992	113
dset-camcan	sub-CC412021	10956	788	2276	7447	2721	1997	600	78
dset-camcan	sub-CC420004	10358	782	1730	7306	2373	1394	581	31
dset-camcan	sub-CC420060	11534	878	2928	8804	3000	1778	1068	201
dset-camcan	sub-CC420061	9633	737	2373	7743	2677	1795	896	149
dset-camcan	sub-CC420071	9623	716	2191	6620	2095	1231	723	24
dset-camcan	sub-CC420075	12778	981	2470	9449	3142	2214	946	69
dset-camcan	sub-CC420089	11110	862	2574	7854	2760	1813	921	138
dset-camcan	sub-CC420091	13048	1010	2512	8755	3364	2626	671	53
dset-camcan	sub-CC420094	10526	827	2632	8245	2952	2202	800	56
dset-camcan	sub-CC420100	12149	909	2516	8245	3205	2559	786	33
dset-camcan	sub-CC420137	11093	885	2577	8644	3135	1861	994	174
dset-camcan	sub-CC420143	11500	764	2278	7783	2506	1562	791	30
dset-camcan	sub-CC420148	11942	944	2664	8904	3352	2949	789	27
dset-camcan	sub-CC420149	14314	967	2886	10432	3518	2430	1073	75
dset-camcan	sub-CC420157	11286	786	2359	7334	2368	1401	771	136
dset-camcan	sub-CC420162	11798	787	2151	8235	2676	1357	991	243
dset-camcan	sub-CC420167	10891	829	2655	8570	3179	2288	952	190
